"NAME","ADDR 1","City","State","Zip","Phone#"
"ANNIE JEWEL & CHARLIES KIDS","2915 BOB AVE","WITCHITA FALLS","TX",76308,(940) 763-2525
"APPLAUSE","1506 VERNON RD.","ARDMORE","OK",73401,(580) 226-8277
"APPLAUSE #2","1230 'F' WEST IMPERIAL","LA HABRA","CA",90631,(562) 694-1314
"APPLAUSE COSTUMES & DANCEWEAR","788 SECOND AVENUE SOUTH","MOORHEAD","MN",56560,(218) 287-3421
"APPLAUSE DANCE BOUTIQUE","6715 MARTIN WAY EAST","OLYMPIA","WA",98516,(360) 456-6111
"APPLAUSE DANCEWEAR","123 N EL CAMINO REAL SUITE F","ENCINITAS","CA",92024,(760) 942-2297
"APPLAUSE DANCEWEAR INC.","1629 OXMOOR ROAD","BIRMINGHAM","AL",35209,(205) 871-7837
"APPLAUSE DANCEWEAR INC.","1602 HILLSIDE AVE","NEW HYDE PARK","NY",11040,(516) 488-7404
"APTOS SHOES & APPAREL","20 RANCHO DEL MAR","APTOS","CA",95003,(831) 688-8007
"ARABESQUE"," 2441 NW 43RD STREET, STE 3C","GAINESVILLE","FL",32606,(352) 372-2003
"ARABESQUE DANCE & FITNESS","25 W. KING STREET","LANCASTER","PA",17603,(717) 291-1266
"ARABESQUE II","22811 100TH AVE. WEST","EDMONDS","WA",98020,(425) 771-4525
"ARABESQUE INC","644 BANK LANE","LAKE FOREST","IL",60045,(847) 482-0997
"ARABESQUE-DANCE-STYLE-FITNESS","1877 EAST DAILY DRIVE #E","CAMARILLO","CA",93010,(805) 484-7706
"ARCADE","8473 MELROSE AVENUE","WEST HOLLYWOOD","CA",90096,(323) 344-0068
"ARENA DANCE & BODYWEAR","1971 RT. 33","HAMILTON SQUARE","NJ",08690,(609) 584-1515
"ARRAY DANCEWEAR & IMPORTS","8606 FM 1960 WEST BYPASS","HUMBLE","TX",77338,(281) 358-0800
"ART OF DANCE","15 SEMINARY AVENUE","CHESTER","NJ",07930,(908) 879-4919
"ART STONE","1795 EXPRESS DRIVE NORTH","HAUPPAUGE","NY","11788",(631) 582-9500
"ART STONE DANCEWEAR","3083 NUTLEY STREET","FAIRFAX","VA","22031     ",(703) 560-7047
"ART WORKS DANCEWEAR","129 SOUTH WASHINGTON","GREEN BAY","WI",54301,(920) 433-9510
"ARTFUL DANCEWEAR LLC","9665 N CENTRAL EXPRESSWAY SUITE 140A","DALLAS","TX",75231,(214) 739-9999
"ARTISTIC COSTUME & DANCE","1304 GOUCHER BLVD.","TOWSON","MD",21286,(410) 321-1121
"ART'S THEATRICAL SUPPLY","13209 CR 1800 #57","LUBBOCK","TX","79424",(806) 777-7792
"ASK SEEK KNOCK","707 LA HWY 139","MONROE","LA",71203,(318) 345-0011
"ASSEMBLE' DANCEWEAR LLC","4425 DATE STREET","COLORADO SPRINGS","CO",80917,(719) 596-8443
"ASSEMBLE' DANCEWEAR, LLC","931 N. PARK ST.","CASTLE ROCK","CO","80109",(303) 663-2066
"AT BARRE LTD","644 E. ARLINGTON BLVD","GREENVILLE","NC",27858,(252) 756-6670
"ATHENA'S","3757 MAIN STREET","WEIRTON","WV",26062,(304) 748-8040
"ATLANTA DANCE BOUTIQUE","1675 CUMBERLAND PARKWAY SUITE 202","SMYRNA","GA","30080",(678) 556-0444
"ATLANTA DANCE BOUTIQUE, THE","3229 B CAINS HILL PLACE","ATLANTA","GA",30305,(404) 233-8686
"ATLANTIC DANCE","1106 CHARLOTTE LANE","KILL DEVIL HILLS","NC",27948,(252) 441-9009
"ATRIUM DANCEWEAR","51 JOHNNY MERCER BLVD","SAVANNAH","GA",31410,(912) 897-4010
"ATTITUDE DANCE & ACTIVE WEAR","330 WESTPORT AVE","NORWALK","CT",06850,(203) 838-4002
"ATTITUDE DANCEWEAR & ART INC.","9621 WESTVIEW DRIVE","CORAL SPRINGS","FL",33076,(954) 755-5722
"ATTITUDES","444B WEST ROUTE 70","MARLTON","NJ",08053,(856) 985-7270
"ATTITUDES  DANCEWEAR ETC","650 N. CARRIAGE PARKWAY, ST105","WICHITA","KS",67208,(316) 688-5600
"ATTITUDES DANCE & ACTIVEWEAR","12330 JAMES STREET SUITE B-50","HOLLAND","MI",49424,(616) 738-6495
"ATTITUDES DANCEWEAR, ETC","13002 SEMINOLE BLVD. SUITE #7","LARGO","FL",33778,(727) 586-0447
"AUNTIE BARBARA'S KIDS","179  SOUTH BEVERLY DRIVE","BEVERLY HILLS","CA",90212,(310) 285-0873
"AVAMARIA","600 WASHINGTON STREET, APT 216","NEW YORK","NY",10014,(212) 966-0909
"AVANT DANCE,LLC","6500 SPID, SUITE 21","CORPUS CHRISTI","TX",78412,(361) 653-3270
"AVENUE OF THE ARTS DANCEWEAR","1129 SOUTH BROAD STREET","PHILADELPHIA","PA",19147,(215) 467-1677
"AYLA & CO","323 S. MAIN STREET","ANN ARBOR","MI",48104,(734) 665-7788
"B. BRAITHWAITE","102 WEST PACES FERRY ROAD","ATLANTA","GA",30318,(404) 605-0963
"BABINSKIS","1324 FOOTHILL BLVD","SALT LAKE CITY","UT",84108,(801) 583-2229
"BABY & KIDS COMPANY","12 MILLER AVE","MILL VALLEY","CA",94941,(415) 389-1312
"BABY AND ME","6718 ""A""  ORCHARD LAKE ROAD","WEST BLOOMFIELD","MI",48322,(248) 855-3214
"BABY BANOU","792 GRAND AVENUE","ST. PAUL","MN",55105,(651) 340-0062
"BABY BLISS","6719 SNIDER PLAZA","DALLAS","TX",75202,(469) 232-9420
"BABY BUBBLE","6105 CITY PLACE","EDGEWATER","NJ",07020,(609) 902-3214
"BABY CROSSING","980 MOUNT KEMBLE AVE","MORRISTOWN","NJ",07960,(973) 425-4080
"BABY SALON","5 SKYLINE DRIVE","ENGLEWOOD CLIFFS","NJ",07632,(917) 699-4882
"BABY STREET","5409 18TH AVENUE","BROOKLYN","NY",11204,(718) 395-3919
"BABY VIE","14404 ELK GROVE LANE","SAN DIEGO","CA",92131,
"BABY WORLD OF FALL RIVER","428 SOUTH MAIN STREET","FALL RIVER","MA",02721,(508) 672-7491
"BABY WRIGHTS","1146 HIGHLAN AVENUE","MANHATTEN BEACH","CA",90266,(310) 546-3122
"BABY'S DREAM","2027 EMMONS AVENUE","BROOKLYN","NY",11235,(718) 646-7992
"BACARA RESORT & SPA","8301 HOLLISTER AVE","GOLETA","CA",93117,(805) 571-3318
"BACK BAY DANCEWEAR, INC","185 CAMBRIDGE STREET","BURLINGTON","MA",01803,(781) 273-0345
"BACK STAGE DANCEWEAR & GIFTS","17302 ""A"" HIGHWAY 3","WEBSTER","TX",77598,(281) 316-6672
"BACKSTAGE","1047 EATON AVE","HAMILTON","OH",45013,(513) 868-7800
"BACKSTAGE BODYWEAR","205 WASHINGTON ST.WEST","CHARLESTON","WV",25302,(304) 343-2100
"BACKSTAGE BOUTIQUE","279 LIVINGSTON ST.","NORTHVALE","NJ","07647",(845) 359-0106
"BACKSTAGE, INC.","12351 S. GATEWAY PARK PLACE SUITE D-600","DRAPER","UT","84020",(801) 446-0192
"BAGLADY BOUTIQUE","1111 E. REPUBLIC ROAD","SPRINGFIELD","MO",65807,(417) 882-4438
"BAILEY SLIPPER SHOP","52 MAIN STREET","BROCKPORT","NY","14420",(585) 637-6690
"BAILEY'S","3300 MONROE AVE","ROCHESTER","NY","14618",(585) 381-2520
"BAILEY'S","8210 MAIN STREET","WILLIAMSVILLE","NY","14221",(716) 634-0314
"BALLARE, INC","3421 RIDGE ROAD SUITE 103","BUFORD","GA",30519,(770) 831-3997
"BALLERINA'S -N- THINGS","3215 WISCONSIN AVE","VICKSBURG","MS",39180,(601) 636-6885
"BALLET BOUTIQUE","1851 SW 141 AVE","MIAMI","FL","33175",(305) 863-6311
"BALLET SHOP","1709 STEWART ST.","SANTA MONICA","CA",90404,(310) 315-0486
"BALLET SHOP","799 BLANDING BLVD SUITE 6","ORANGE PARK","FL",32065,(904) 276-5992
"BALLET SHOP, THE","3310 HICKORY RD SUITE B-4","MISHAWAKA","IN",46545,(574) 255-3082
"BALLET SHOP, THE ","210 VALLEYBROOK ROAD","MCMURRAY","PA",15317,(201) 612-0960
"BALLETOMANIA","2 TUCKER DRIVE","POUGHKEEPSIE","NY","12603",(845) 473-3231
"BANANA DANCEWEAR","1013 ANN STREET #A","DELAVAN","WI","53115",(262) 728-3017
"BARBARA'S DANCE","1497 S. PERKINS","MEMPHIS","TN",38117,(901) 682-6898
"BAREFOOTTESS.COM","1421 CLARKVIEW ROAD STE 100B","BALTIMORE","MD",21209,(410) 337-7722
"BARRE ROOM, THE","684 WEST MAIN STREET","UNION TOWN","PA","15401",(724) 438-5678
"BARRES ""N"" BLADES","694 SOUTH LAPEER","LAKE ORION","MI",48362,(248) 693-8420
"BARRY'S CAPEZIO","2240 N. SCOTTSDALE RD.","SCOTTSDALE","AZ",85257,(480) 946-3651
"BASSNETS & BLUEBERRIES","283 EAST 17TH STREET","COSTA MESA","CA",92627,(949) 650-2244
"BATTERIE, THE","2435 S. BROAD STREET","CHATTANOOGA","TN",37408,(423) 267-7530
"BAUM'S INC","106 S.11TH ST.","PHILADELPHIA","PA",19107,(215) 923-2244
"BEAM & BARRE","352 GREENWICH AVENUE","GREENWICH","CT",06830,(203) 622-0591
"BEAN 2 TWEEN","79 JOBS LANE","SOUTHAMPTON","NY",11968,(631) 377-3640
"BEANIE  & CECIL OF WILMINGTON","1904 EASTWOOD ROAD, STE 108","WILMINGTON","NC",28403,(910) 509-9197
"BEAR ESSENTIALS CHILDRENS SHOP","1558-F AIRPORT ROAD","HOT SPRINGS","AR",71913,(501) 760-1735
"BEATWEAR INC","411 WEST MAIN STREET","VISALIA","CA",93291,(559) 627-5722
"BEAUTY BAR APOTHECARY","158 SOUTH BEVERLY DRIVE","BEVERLY HILLS","CA",90212,(310) 271-0071
"BEBENA.COM","1224 STANLEY AVE, #5","GLENDALE","CA",91206,(213) 308-9500
"BEDAZZLED BOUTIQUE","218 SOUTH NEWTOWN STREET ROAD","NEWTOWN SQUARE","PA",19073,(610) 359-1707
"BEL BAMBINI","464 N ROBERTSON BLVD","WEST HOLLYWOOD","CA",90048,(310) 855-9272
"BELLA  BEACH KIDS","225 MANHATTAN BEACH BOULEVARD","MANHATTAN BEACH","CA",90266,(310) 545-9990
"BELLA BABY","1705 E. DEL MAR","LARADO","TX",78041,(956) 237-4472
"BELLA DANCE BOUTIQUE","175 EAST ALEX-BELL ROAD SUITE 272","CENTERVILLE","OH",45459,(937) 886-6890
"BELLA JACK'S","3660 FRONT STREET STE 1","FAYETTEVILLE","AR",72703,(479) 444-8767
"BELLA-MI","1601 W. 38TH STREET, # 3","AUSTIN","TX",78736,(512) 452-3552
"BELLIES & BOOTIES","4120 QUAKERBRIDGE ROAD","LAWRENCEVILLE","NJ",08648,(609) 716-1700
"BELLIES, BABIES & BOSOMS","2430 HONOLULU AVENUE","MONTROSE","CA",91020,(818) 541-1200
"BENICIA DANCEWEAR","408 MILITARY EAST","BENICIA","CA",94510,(707) 747-5022
"BERING'S","6102 WESTHEIMER","HOUSTON","TX",77057,(713) 785-6400
"BERK'S STORES INC","272 THAYER STREET","PROVIDENCE","RI",02906,(401) 831-0174
"BERNARDI'S DANCE  ","5938 SOUTH WEST 17TH STREET","TOPEKA","KS","66604",(785) 273-2454
"BETHANY'S","707 NANCY ST.","WHITE HALL","AR",71602,(870) 267-7044
"BETTY LIN","340 PRESIDIO AVE","SAN FRANCISCO","CA",94115,(415) 345-8688
"BEULAH'S","308 E MAIN STREET","FREDERICKSBURG","TX",78624,(830) 990-2932
"BILL HALLMAN","792 NORTH HIGHLAND AVE","ATLANTA","GA",30306,(404) 876-6055
"BILLIE JO CLOTHING COMPANY","271 NORTH UNIVERSITY AVE","PROVO","UT",84601,(801) 373-4144
"BINGHAM DANCE WEAR","5109 SUNMORE CIRCLE","MIDLAND","TX",79707,(432) 689-3269
"BLACK & PINK DANCE SUPPLY","8130 SOUTH LEWIS","TULSA","OK","74137",(918) 528-3339
"BLACK MOUNTAIN DANCE","12285-L WORLD TRADE DR. SUITE L","SAN DIEGO","CA",92128,(858) 674-1006
"BLADES TO BALLET","1624 HWY 52 NORTH","ROCHESTER","MN",55901,(507) 281-1401
"BLINK BOUTIQUE","3706 LEXINGTON ROAD","LOUISVILLE","KY",40207,(502) 899-9885
"BLOOM","820  REGAL DRIVE","HUNTSVILLE","AL",35801,(256) 533-2623
"BLUE","718 CAROLINE STREET","KEY WEST","FL",33040,(305) 292-6268
"BO BO'S DANCE SUPPLY ","314 TRICE ROAD","MILNER","GA",30257,(800) 235-2626
"BOBO'S DANCE SUPPLY","2352 INGLESIDE AVE","MACON","GA",31204,(478) 738-0175
"BODIES IN MOTION","43316 ELEVEN MILE RD.","NOVI","MI",48375,(248) 305-5590
"BODIES IN MOTION","305 EAST HWY 50","CLERMONT","FL",34711,(352) 242-4391
"BODIES IN MOTION","1323 WEST EUCLID AVE","MARION","IN",46952,(765) 668-8680
"BODIES IN MOTION FOREVER","2210 E. MAIN STREET","SPRINGFIELD","OH",45503,(937) 322-6436
"BODY & SOLE","931 GREEN BAY ROAD","WINNETKA","IL",60093,(847) 446-2005
"BODY & SOLE DANCE SUPPLY","120 STATE ROAD","DARTMOUTH","MA",02747,(508) 999-2003
"BODY LANGUAGE","3111 WEST CHANDLER BLVD","CHANDLER","AZ",85226,(480) 786-4030
"BODY LANGUAGE","3111 WEST CHANDLER BLVD","CHANDLER","AZ",85226,(480) 969-7869
"BODY LANGUAGE","311 WEST CHANDLER BLVD","CHANDLER","AZ",85226,(480) 985-8686
"BODY LANGUAGE","SUPERSTITION SPRING CENTER 6555 E SOUTHERN AVE #1226","MESA","AZ","85206",(480) 985-8686
"BODY LANGUAGE  CHANDLER","1445 W. SOUTHERN 2222 FIESTA MALL","MESA","AZ","85202",(480) 969-7869
"BODYGEAR FITNESS & DANCE","150 EAST STATE STREET","ITHACA","NY",14850,(607) 273-4327
"BODYGEARS","112 WOODSTOCK AVE RT. 4 EAST","RUTLAND","VT",05701,(802) 775-2747
"BODYPHLO","1002 W.  NORTHERN LIGHTS BLVD","ANCHORAGE","AK","99503",(907) 276-1464
"BONITA","2330 LILLIE AVENUE","SUMMERLAND","CA",93067,(805) 218-4030
"BONNE NUIT","55 MAIN STREET","EAST HAMPTON","NY",11937,(631) 324-7273
"BORN YESTERDAY","86 MOSELY AVE","STATEN ISLAND","NY",10312,(718) 317-0700
"BORN YESTERDAY","1901 WALNUT STREET","PHILADELPHIA","PA",19103,(215) 568-6556
"BOTTOMS UP","2137 HAMILTON","OKEMOS","MI",48864,(517) 349-0158
"BOULDER BODY WEAR","2660 CANYON BLVD SUITE A-1","BOULDER","CO",80302,(303) 447-9100
"BOUTIQUE BOULEVARD","315 GENTRY ST #B1","SPRING","TX",77373,(281) 528-6733
"BOUTIQUE FOR CHILDREN","71-21 AUSTIN STREET","FOREST HILLS","NY",11375,(718) 261-6771
"BRA*TENDERS INC","630 9TH AVE","NEW YORK CITY","NY","10036",(212) 957-7000
"BRANDYWINE DANCE SHOPPE","3617 SILVERSIDE ROAD","WILMINGTON","DE",19810,(302) 478-4403
"BRAVA BODYWEAR, LLC","8986  MANCHESTER ROAD","ST  LOUIS","MO",63144,(314) 962-1000
"BRAVI DANCE BOUTIQUE","155 NORTH SANTA CRUZ AVE SUITE E","LOS GATOS","CA",95030,(408) 354-5144
"BREAKERS, THE","ONE SOUTH CITY ROAD","PALM BEACH","FL",33480,(561) 655-6611
"BRIDAL BOUTIQUE","134 W MAIN","DURANT","OK",74701,(580) 924-7660
"BRIGHT LIGHTS DANCEWEAR, LLC","5800 SLAUGHTER LANE BUILDING B  -  SUITE 3000","AUSTIN","TX",78749,(512) 373-8922
"BRILL'S SHOES","1367 E. HIGHLAND AVE.","SAN BERNARDINO","CA",92404,(909) 882-2116
"BRINKMAN'S SHOES","720 WEST MCGALLIARD ROAD","MUNCIE","IN",47303,(765) 288-1561
"BROADWAY DANCE CENTER","322 WEST 45TH ST. 3RD FLOOR","NEW YORK","NY",10036,(212) 582-9304
"BROADWAY DANCEWEAR 2, INC","4580-16 SUNRISE HWY","OAKDALE","NY",11769,(631) 567-2229
"BROUSSE'S","542 W PRIEN LAKE ROAD","LAKE CHARLES","LA",70601,(337) 477-0580
"BROWN SUGAR","12383 NW 80TH PLACE","PARKLAND","FL",33076,(876) 383-9346
"BSCENE","7725 TUCKERMAN LANE","POTOMAC","MD",20854,(301) 299-0194
"BTWEEN","354 DEGRAW STREET","BROOKLY","NY",11231,(718) 783-7993
"BUBBLE","3108 FILLMORE AVENUE","SAN FRANCISCO","CA",94123,(415) 771-0570
"BUBBLE & TWEET","656 OLD POST ROAD","BEDFORD VILLAGE","NY",10506,
"BUCKLES","501 AVENUE P","BROOKLYN","NY",11223,(718) 336-3177
"BUMBLE BOUTIQUE, LLC","4840 FOREST DRIVE, STE 24","COLUMBIA","SC",29206,(803) 233-9703
"BUMP, THE","951 MARKET STREET, STE 104","FORTMILL","SC",29708,(803) 548-8700
"BUSY BODIES OF LAKE NORMAN INC","122-A TRADE COURT","MOORESVILLE","NC",28117,(704) 664-6925
"BUTTER","3115 COMMODORE PLAZA","COCONUT GROVE","FL",33133,(305) 443-3434
"BUZY BODIES","3537 HWY 190","MANDEVILLE","LA",70471,(985) 875-0729
"BYU IDAHO UNIVERSITY STORE","142 MANWARING CENTER","REXBURG","ID",83460,(208) 496-3400
"C&W MERCANTILE","2385 MONTAUK HWY","BRIDGEHAMPTON","NY","11932",(631) 537-7914
"CADANCE DANCEWEAR","12424 HESPERIA ROAD SUITE 5","VICTORVILLE","CA",92395,(760) 955-9104
"CAMI VAN LLC dba CAMI","1146 HIGHLAND AVENUE","MANHATTAN BEACH","CA",90266,(310) 545-2264
"CAMILLE FRANCES DEPEDRINI","1516 MISSION STREET","SOUTH PASADENA","CA",91030,(626) 441-7868
"CANOGA PARK CAPEZIO","7128 OWENSMOUTH AVE","CANOGA PARK","CA",91303,(818) 348-4488
"CANOPY BLUE CLOTHING","3121 E MADISON STREET, STE 103","SEATTLE","WA",98112,(206) 323-1115
"CANTERELLA SCHOOL OF DANCE","210 WENDALL AVE","PITTSFIELD","MA",01201,(413) 443-5370
"CAPEZIO","982 EL MONTE","MOUNTAIN VIEW","CA","94040",(350) 965-7066
"CAPEZIO","318 SUNRISE HIGHWAY","ROCKVILLE CENTRE","NY",11570,(516) 764-1199
"CAPEZIO","5500 GROSMONT CENTER DR.","LA MESA","CA","91942",(619) 466-5595
"CAPEZIO","309 SOUTH ""B"" STREET","SAN MATEO","CA",94401,(650) 340-7066
"CAPEZIO","200 E. VIA RANCHO PARKWAY #109","ESCONDIDO","CA","92025",(760) 781-4150
"CAPEZIO","EL CAMINO NORTH CENTER 2401-C  #2 VISTA WAY","OCEANSIDE","CA","92054     ",(760) 967-6723
"CAPEZIO - AMSTERDAM","201 AMSTERDAM AVE","NEW YORK","NY","10023",(212) 586-5140
"CAPEZIO - BOSTON","330 WASHINGTON STREET","WELLESLEY","MA","02481",(781) 237-5526
"CAPEZIO - CLEVELAND #14","GREENS OF LYNDHURST 5658 1/2 MAYFIELD ROAD","LYNDHURST","OH","44124",(440) 442-8377
"CAPEZIO- DALLAS #13","WOODLANE PLAZA SHOPPING CENTER 5600 WEST LOVER'S LANE","DALLAS","TX","75209",(214) 351-2555
"CAPEZIO DANCE THEATRE SHOP","5114 BALCONES WOODS DR","AUSTIN","TX","78759",(512) 502-1150
"CAPEZIO EAST","136 EAST 61ST STREET","NEW YORK","NY","10021",(212) 758-8898
"CAPEZIO EAST UPTOWN","1651 3RD AVE 3RD FLOOR","NEW YORK","NY","10128",(212) 348-7210
"CAPEZIO SACRAMENTO","3839 H ST.","SACRAMENTO","CA",95816,(916) 452-2255
"CAPEZIO -U.T.C.","4417 LA JOLLA VILLAGE #Q5","SAN DIEGO","CA",92122,(858) 453-3402
"CAPITAL COSTUMES, INC.","8121 MADISON AVE SUITE ""F1""","FAIR OAKS","CA",95628,(916) 961-2769
"CARLY K","1047 SWARTHMORE AVE","PACIFIC PALISADES","CA",90272,(310) 454-1086
"CARMEL COBBLER","14 FAIR STREET SUITE 304","CARMEL","NY",10512,(845) 225-5275
"CARMEL'S DANCEWEAR","3004 CLEARY AVE","METAIRIE","LA",70002,(504) 457-0101
"CARMEN'S DANCE SHOES","6506-D EL CAJON BLVD.","SAN DIEGO","CA",92115,(619) 287-5787
"CAROLINA BOUTIQUE","76 THROCKMORTON AVENUE","MILL VALLEY","CA",94941,(415) 246-9988
"CAROLINA DANCEWEAR","1627 NEW GARDEN ROAD","GREENSBORO","NC",27410,(336) 856-9983
"CAROLINA HOSIERY CONNECTION","18478 FOREST ROAD SUITE 7","FOREST","VA",24551,(434) 846-5099
"CAT AND THE FIDDLE","5815 PRESTON ROAD, SUITE 560","PLANO","TX",75093,(972) 943-1005
"CATHY'S CAPEZIO","905 JAMES STREET BLDG #2","NORRISTOWN","PA",19401,(215) 256-4077
"CATHY'S PARADISE DANCEWEAR","18589 BROOKHURST STREET","FOUNTAIN VALLEY","CA",92708,(714) 962-5600
"CAVISE BOUTIQUE","273 HALSTEAD","MAMARONECK","NY",10543,(914) 381-5222
"CELEBRITY KIDS","18 WASHINGTON STREET","TENAFLY","NJ",07670,(201) 569-8469
"CENTER STAGE AT ANNETTE'S","421 TEXAS BLVD","TEXARKANA","TX",75501,(903) 793-1181
"CENTER STAGE BOUTIQUE","521 S. HWY 87 SUITE B","ORANGE","TX",77630,(409) 883-4567
"CENTER STAGE DANCE & THEATRICA","525 CEDAR HILL AVE","WYCKOFF","NJ",07481,(201) 670-1222
"CENTER STAGE DANCE APPAREL","246 DEPOT STREET SUITE C","SODDY DAISY","TN",37379,(423) 451-9912
"CENTER STAGE DANCEWEAR","183 SCOTCH ROAD","EWING","NJ",08628,(609) 323-7819
"CENTER STAGE DANCEWEAR","347 NORTH GLYNN STREET","FAYETTEVILLE","GA",30214,(770) 460-9815
"CENTER STAGE DANCEWEAR","262 ROSE DRIVE","BRUNSWICK","GA","31520",(912) 264-2124
"CENTER STAGE II","70 SOUTH PARK SQUARE","MARIETTA","GA",30060,(770) 425-9055
